month,airline,destination,number,seats,,,,,,,
April,Southern Airways,Altoona,51,510,,,,,,,
April,Southern Airways,Bradford,103,1030,,,,,,,
April,Southern Airways,DuBois,102,1020,,,,,,,
April,Southern Airways,Franklin,81,810,,,,,,,
April,Southern Airways,Hagerstown,30,300,,,,,,,
April,Southern Airways,Jamestown,0,0,,,,,,,
April,Southern Airways,Johnstown,102,1020,,,,,,,
April,Southern Airways,Lancaster,72,720,,,,,,,
April,Southern Airways,Harrisburg,51,510,,,,,,,
April,Southern Airways,Morgantown,102,1020,,,,,,,
April,American,Boston,75,"3,376",,,,,,,
April,American,Charlotte,262,"31,862",,,,,,,
April,American,Cancun,4,512,,,,,,,
April,American,Washington (National),107,"7,066",,,,,,,`
April,American,Dallas/Fort Worth,107,"14,916",,,,,,,
April,American,New York,30,"1,332",,,,,,,
April,American,New York (LaGuardia),158,8874,,,,,,,
April,American,Miami,90,"6,060",,,,,,,
April,American,Chicago O'Hare,163,"16,175",,,,,,,
April,American,Philadelphia,170,"16,392",,,,,,,
April,American,Phoenix,55,"7,040",,,,,,,
April,American,Raleigh-Durham,56,"2,800",,,,,,,
April,Air Canada,Toronto (Pearson),84,"4,200",,,,,,,
April,JetBlue,Boston,168,"16,800",,,,,,,
April,JetBlue,Fort Lauderdale,30,"4,500",,,,,,,
April,Delta,Atlanta,223,"33,764",,,,,,,
April,Delta,Boston,56,"4,256",,,,,,,
April,Delta,Cancun,4,596,,,,,,,
April,Delta,Detroit,142,13618,,,,,,,
April,Delta,New York,90,"6,840",,,,,,,
April,Delta,New York (LaGuardia),185,"13,319",,,,,,,
April,Delta,Orlando,0,0,,,,,,,
April,Delta,Minneapolis,99,10431,,,,,,,
April,Frontier,Denver,10,1500,,,,,,,
April,Frontier,Las Vegas,0,0,,,,,,,
April,Frontier,Orlando,3,690,,,,,,,
April,Allegiant Air,Austin,9,"1,404",,,,,,,
April,Allegiant Air,Charleston,8,"1,248",,,,,,,
April,Allegiant Air,Jacksonville,10,"1,560",,,,,,,
April,Allegiant Air,New Orleans,9,"1,404",,,,,,,
April,Allegiant Air,Myrtle Beach,8,"1,248",,,,,,,
April,Allegiant Air,Punta Gorda,21,3444,,,,,,,
April,Allegiant Air,St. Pete/Clearwater,18,2976,,,,,,,
April,Allegiant Air,Savannah/Hilton Head,12,1872,,,,,,,
April,Allegiant Air,Orlando/Sanford,13,2160,,,,,,,
April,Allegiant Air,San Juan,0,0,,,,,,,
April,Allegiant Air,Sarasota/Bradenton,6,936,,,,,,,
April,OneJet,Albany,21,147,,,,,,,
April,OneJet,Hartford,42,294,,,,,,,
April,OneJet,Cincinnati,0,0,,,,,,,
April,OneJet,Indianapolis,42,294,,,,,,,
April,OneJet,Kansas City,42,1260,,,,,,,
April,OneJet,Milwaukee,21,147,,,,,,,
April,OneJet,Palm Beach,17,510,,,,,,,
April,OneJet,Providence,21,147,,,,,,,
April,OneJet,Richmond,0,0,,,,,,,
April,OneJet,Louisville,42,294,,,,,,,
April,Spirit,Dallas/Fort Worth,25,"3,884",,,,,,,
April,Spirit,Fort Lauderdale,25,3847,,,,,,,
April,Spirit,Las Vegas,30,4757,,,,,,,
April,Spirit,Los Angeles,30,"4,350",,,,,,,
April,Spirit,Orlando,30,4757,,,,,,,
April,Spirit,Myrtle Beach,24,"3,702",,,,,,,
April,Spirit,Ft. Myers,11,"2,002",,,,,,,
April,Spirit,Tampa,11,"2,002",,,,,,,
April,Porter,Toronto (City Center),0,0,,,,,,,
April,United,Denver,56,"8,018",,,,,,,
April,United,Newark,204,"14,928",,,,,,,
April,United,Washington (Dulles),114,"8,956",,,,,,,
April,United,Houston (Intercontinental),118,"8,420",,,,,,,
April,United,Chicago O'Hare,176,"16,218",,,,,,,
April,United,San Francisco,30,"5,228",,,,,,,
April,Southwest,Atlanta,55,"8,569",,,,,,,
April,Southwest,Nashville,50,"7,150",,,,,,,
April,Southwest,Baltimore,81,"11,935",,,,,,,
April,Southwest,Dallas (Love),30,4354,,,,,,,
April,Southwest,Denver,31,4529,,,,,,,
April,Southwest,Fort Lauderdale,40,6232,,,,,,,
April,Southwest,Houston (Hobby),30,"4,546",,,,,,,
April,Southwest,Las Vegas,56,9608,,,,,,,
April,Southwest,Los Angeles,26,4358,,,,,,,
April,Southwest,Orlando,130,20318,,,,,,,
April,Southwest,Chicago (Midway),132,19996,,,,,,,
April,Southwest,New Orleans,5,715,,,,,,,
April,Southwest,Palm Beach,1,143,,,,,,,
April,Southwest,Phoenix,30,4962,,,,,,,
April,Southwest,Ft. Myers,40,6456,,,,,,,
April,Southwest,St. Louis,34,4990,,,,,,,
April,Southwest,Tampa,91,13013,,,,,,,
April,WOW air,Reykjavik,18,3600,,,,,,,
March,Southern Airways,Altoona,53,530,,,,,,,
March,Southern Airways,Bradford,106,1060,,,,,,,
March,Southern Airways,DuBois,106,1060,,,,,,,
March,Southern Airways,Franklin,84,840,,,,,,,
March,Southern Airways,Hagerstown,31,310,,,,,,,
March,Southern Airways,Jamestown,106,1060,,,,,,,
March,Southern Airways,Johnstown,106,1060,,,,,,,
